Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
980-96-6231,C,Mandalay,Normal,Male,Health and beauty,17.85,3,2.6775,56.2275,05/17/2025,09:07,Credit card,7.7
507-42-1337,A,Naypyitaw,Member,Female,Sports and travel,63.94,10,31.97,671.37,08/10/2025,20:58,Cash,9.9
355-43-7343,B,Mandalay,Member,Male,Health and beauty,67.41,3,10.1115,212.3415,06/02/2025,06:02,Cash,5.0
402-08-0272,C,Yangon,Normal,Female,Electronic accessories,34.69,1,1.7345,36.4245,12/14/2025,21:02,Ewallet,10.0
250-73-6473,B,Yangon,Member,Female,Health and beauty,90.63,4,18.126,380.646,06/16/2025,20:08,Credit card,7.7
890-81-5442,A,Mandalay,Normal,Male,Health and beauty,47.95,5,11.9875,251.7375,04/01/2025,23:19,Cash,6.6
786-95-2069,A,Naypyitaw,Member,Male,Home and lifestyle,42.11,4,8.422,176.862,09/26/2025,22:24,Ewallet,5.5
821-36-1617,C,Naypyitaw,Normal,Male,Fashion accessories,31.64,4,6.328,132.888,01/06/2026,05:00,Credit card,5.8
149-78-0926,A,Yangon,Normal,Male,Home and lifestyle,21.94,5,5.485,115.185,01/25/2026,16:11,Cash,4.8
860-09-4220,A,Yangon,Member,Male,Sports and travel,79.21,7,27.7235,582.1935,01/05/2026,00:47,Credit card,6.5
369-07-4057,C,Mandalay,Member,Female,Home and lifestyle,27.71,2,2.771,58.191,03/28/2025,14:39,Cash,6.4
039-42-1028,C,Yangon,Normal,Female,Fashion accessories,87.84,8,35.136,737.856,07/30/2025,16:50,Credit card,9.4
143-49-5304,A,Mandalay,Normal,Male,Sports and travel,41.24,1,2.062,43.302,05/13/2025,23:01,Ewallet,9.2
225-98-6259,C,Yangon,Normal,Female,Sports and travel,42.1,4,8.42,176.82,02/25/2025,03:44,Credit card,4.7
171-28-0875,C,Naypyitaw,Normal,Female,Sports and travel,79.3,3,11.895,249.795,04/05/2025,14:27,Ewallet,6.7
072-19-1945,B,Mandalay,Member,Male,Food and beverages,43.36,8,17.344,364.224,10/30/2025,12:22,Credit card,6.5
279-05-5745,C,Yangon,Member,Male,Sports and travel,53.99,9,24.2955,510.2055,07/21/2025,19:29,Ewallet,9.5
681-02-3888,B,Yangon,Normal,Male,Home and lifestyle,76.7,7,26.845,563.745,08/20/2025,02:47,Credit card,5.9
760-68-9834,C,Mandalay,Member,Female,Electronic accessories,91.6,8,36.64,769.44,05/08/2025,17:03,Ewallet,8.6
501-06-1395,C,Yangon,Normal,Female,Health and beauty,81.03,3,12.1545,255.2445,09/30/2025,12:01,Cash,8.9
221-97-7030,C,Yangon,Normal,Female,Fashion accessories,89.06,2,8.906,187.026,11/04/2025,04:34,Ewallet,9.8
929-74-0619,C,Naypyitaw,Normal,Male,Food and beverages,89.71,10,44.855,941.955,01/28/2026,07:23,Credit card,7.8
960-09-6611,C,Naypyitaw,Normal,Female,Electronic accessories,82.14,2,8.214,172.494,10/07/2025,03:00,Credit card,9.6
244-31-1328,C,Yangon,Member,Female,Sports and travel,84.69,7,29.6415,622.4715,03/28/2025,10:47,Ewallet,9.7
901-73-2014,C,Yangon,Normal,Female,Home and lifestyle,44.67,3,6.7005,140.7105,11/23/2025,10:44,Cash,4.2
744-71-9825,A,Mandalay,Normal,Female,Health and beauty,45.03,3,6.7545,141.8445,02/16/2025,21:15,Cash,9.7
932-09-2074,B,Mandalay,Member,Female,Electronic accessories,52.91,6,15.873,333.333,12/06/2025,00:18,Ewallet,4.2
941-24-2254,A,Yangon,Normal,Male,Electronic accessories,76.66,1,3.833,80.493,08/23/2025,20:13,Ewallet,4.4
435-70-5923,B,Mandalay,Member,Male,Health and beauty,52.14,1,2.607,54.747,03/07/2025,12:00,Ewallet,7.5
996-24-1127,A,Mandalay,Normal,Female,Food and beverages,15.06,6,4.518,94.878,01/29/2026,19:40,Ewallet,5.2
651-41-8975,B,Naypyitaw,Normal,Female,Food and beverages,30.83,10,15.415,323.715,10/05/2025,15:10,Ewallet,9.7
569-56-9013,C,Mandalay,Normal,Female,Home and lifestyle,36.73,7,12.8555,269.9655,04/30/2025,15:08,Cash,9.5
477-41-6667,B,Yangon,Normal,Female,Food and beverages,39.33,8,15.732,330.372,09/10/2025,06:57,Ewallet,8.7
023-96-4079,A,Mandalay,Normal,Male,Fashion accessories,66.92,10,33.46,702.66,11/20/2025,05:49,Credit card,9.1
104-16-6937,A,Naypyitaw,Member,Male,Electronic accessories,29.65,6,8.895,186.795,10/23/2025,10:50,Ewallet,10.0
972-38-6433,B,Naypyitaw,Normal,Female,Food and beverages,16.03,5,4.0075,84.1575,09/26/2025,03:43,Ewallet,7.0
609-14-9738,A,Mandalay,Member,Female,Home and lifestyle,37.35,8,14.94,313.74,04/10/2025,19:08,Cash,7.6
027-91-9545,C,Yangon,Member,Male,Fashion accessories,49.1,7,17.185,360.885,12/11/2025,16:25,Ewallet,4.4
360-10-4532,B,Yangon,Member,Male,Fashion accessories,90.08,9,40.536,851.256,12/03/2025,00:39,Credit card,7.1
506-39-6688,A,Yangon,Member,Male,Food and beverages,35.26,10,17.63,370.23,07/14/2025,12:32,Credit card,5.7
378-12-8972,B,Naypyitaw,Member,Female,Home and lifestyle,62.35,3,9.3525,196.4025,09/04/2025,20:37,Credit card,5.8
541-05-8147,B,Mandalay,Member,Male,Fashion accessories,10.89,2,1.089,22.869,02/10/2025,16:00,Cash,6.2
430-36-2871,B,Mandalay,Member,Male,Electronic accessories,28.4,3,4.26,89.46,11/09/2025,10:43,Ewallet,7.9
714-59-1013,A,Naypyitaw,Member,Female,Health and beauty,81.03,3,12.1545,255.2445,05/09/2025,15:59,Ewallet,5.0
261-01-2660,A,Naypyitaw,Normal,Male,Fashion accessories,73.04,6,21.912,460.152,01/04/2026,04:06,Credit card,8.2
076-37-4417,A,Mandalay,Normal,Female,Electronic accessories,48.0,2,4.8,100.8,05/24/2025,17:24,Cash,5.0
480-45-7457,A,Naypyitaw,Member,Female,Electronic accessories,78.08,4,15.616,327.936,06/04/2025,09:45,Ewallet,8.1
663-32-2704,B,Mandalay,Normal,Male,Electronic accessories,64.4,6,19.32,405.72,10/25/2025,22:37,Cash,8.2
865-03-9371,A,Naypyitaw,Normal,Male,Food and beverages,79.09,7,27.6815,581.3115,07/11/2025,03:09,Ewallet,5.5
858-75-5979,B,Naypyitaw,Member,Male,Food and beverages,47.18,10,23.59,495.39,06/06/2025,11:44,Credit card,6.5
959-14-6127,C,Mandalay,Normal,Female,Electronic accessories,70.9,7,24.815,521.115,09/09/2025,22:13,Ewallet,8.5
892-11-8456,B,Naypyitaw,Member,Male,Electronic accessories,98.45,9,44.3025,930.3525,09/26/2025,00:26,Ewallet,7.6
884-52-6871,A,Yangon,Member,Female,Electronic accessories,83.51,8,33.404,701.484,04/21/2025,14:04,Credit card,6.9
275-92-9415,A,Yangon,Normal,Male,Fashion accessories,87.93,9,39.5685,830.9385,09/02/2025,01:40,Cash,6.6
523-98-0743,B,Mandalay,Member,Male,Electronic accessories,52.14,4,10.428,218.988,06/15/2025,04:18,Ewallet,5.6
340-12-2999,C,Naypyitaw,Member,Female,Food and beverages,33.56,3,5.034,105.714,02/26/2025,02:04,Cash,9.0
324-62-0108,B,Mandalay,Normal,Male,Food and beverages,93.12,4,18.624,391.104,11/19/2025,21:34,Credit card,6.9
750-10-0561,A,Yangon,Member,Female,Food and beverages,46.4,1,2.32,48.72,07/23/2025,09:53,Ewallet,5.1
